Iteration,TransferIn_ms,Inference_ms,TransferOut_ms,Total_ms
478,0.088911,3.731532,0.114872,3.935315
479,0.091907,3.559232,0.088791,3.739930
480,0.088490,3.728417,0.095614,3.912521
481,0.089371,3.566266,0.089442,3.745079
482,0.088841,5.036941,0.101064,5.226846
483,0.187019,3.541819,0.099521,3.828359
484,0.095543,4.030310,0.158092,4.283945
485,0.097798,3.560274,0.115484,3.773556
486,0.121732,4.131574,0.092127,4.345433
487,0.091847,3.553370,0.105383,3.750600
488,0.088520,3.786999,0.097408,3.972927
489,0.089382,3.661208,0.120681,3.871271
490,0.173413,3.771903,0.088981,4.034297
491,0.088500,3.577748,0.091156,3.757404
492,0.091115,3.769146,0.098890,3.959151
493,0.088791,3.544494,0.185276,3.818561
494,0.101084,3.680315,0.089662,3.871061
495,0.088881,3.569191,0.089041,3.747113
496,0.089021,3.703740,0.093760,3.886521
497,0.087859,3.542881,0.094732,3.725472
498,0.088400,4.987267,0.093700,5.169367
499,0.099993,3.560965,0.089141,3.750099
500,0.094592,3.719500,0.090494,3.904586
501,0.088600,4.043853,0.136193,4.268646
502,0.091857,3.521089,0.088901,3.701847
503,0.088500,3.550887,0.088800,3.728187
504,0.088730,3.560605,0.092067,3.741402
505,0.091946,3.889537,0.117616,4.099099
506,0.095684,3.564292,0.089341,3.749317
507,0.095654,3.575473,0.088731,3.759858
508,0.088049,3.491653,0.088450,3.668152
509,0.088420,3.821336,0.150470,4.060226
510,0.091075,3.576074,0.092979,3.760128
511,0.091696,3.597837,0.088811,3.778344
512,0.088179,3.550996,0.088370,3.727545
513,0.088560,5.813404,0.186899,6.088863
514,0.164996,4.127707,0.094933,4.387636
515,0.091917,3.561086,0.089191,3.742194
516,0.090333,3.559603,0.088781,3.738717
517,0.088841,4.702590,0.134619,4.926050
518,0.096396,3.655587,0.091426,3.843409
519,0.088420,3.580143,0.101234,3.769797
520,0.089192,3.836824,0.147073,4.073089
521,0.104010,3.971895,0.155580,4.231485
522,0.093189,3.572698,0.091987,3.757874
523,0.091957,3.499607,0.092739,3.684303
524,0.088670,3.711876,0.102276,3.902822
525,0.088681,3.788042,0.110202,3.986925
526,0.092037,3.679764,0.089773,3.861574
527,0.088420,3.668723,0.093750,3.850893
528,0.091686,4.807481,0.110954,5.010121
529,0.089983,4.242526,0.123637,4.456146
530,0.089382,3.590061,0.089702,3.769145
531,0.088490,3.570294,0.088590,3.747374
532,0.104942,4.552632,0.090914,4.748488
533,0.088280,3.828370,0.096395,4.013045
534,0.088610,3.568239,0.091957,3.748806
535,0.091817,3.635448,0.088320,3.815585
536,0.088230,4.007684,0.091877,4.187791
537,0.088851,3.763464,0.089683,3.941998
538,0.088420,3.653122,0.095423,3.836965
539,0.092448,3.537771,0.088380,3.718599
540,0.088189,5.762067,0.097467,5.947723
541,0.091827,3.690855,0.094221,3.876903
542,0.088550,3.622514,0.089331,3.800395
543,0.088400,3.895368,0.120331,4.104099
544,0.085865,3.524205,0.085995,3.696065
545,0.086567,3.749628,0.087869,3.924064
546,0.091265,3.555385,0.094431,3.741081
547,0.088931,3.755739,0.151693,3.996363
548,0.097377,3.915226,0.100113,4.112716
549,0.086526,3.567178,0.099691,3.753395
550,0.088300,6.452983,0.145111,6.686394
551,0.117836,3.954182,0.177310,4.249328
552,0.100944,3.909265,0.110433,4.120642
553,0.089171,3.797529,0.114871,4.001571
554,0.100182,3.968239,0.146342,4.214763
555,0.098479,4.145880,0.109400,4.353759
556,0.097247,4.978438,0.141362,5.217047
557,0.140251,4.053723,0.106014,4.299988
558,0.089061,3.703910,0.094872,3.887843
559,0.088640,5.344713,0.116636,5.549989
560,0.091567,4.321597,0.096606,4.509770
561,0.089122,3.895727,0.139991,4.124840
562,0.091185,3.581625,0.139037,3.811847
563,0.094622,3.606232,0.089282,3.790136
564,0.088701,3.587987,0.091356,3.768044
565,0.088330,4.005328,0.153807,4.247465
566,0.092178,3.598557,0.088901,3.779636
567,0.088670,3.549834,0.088971,3.727475
568,0.088680,3.545225,0.105423,3.739328
569,0.088430,4.680838,0.142995,4.912263
570,0.096375,3.672320,0.091165,3.859860
571,0.088881,3.505719,0.115572,3.710172
572,0.088571,3.569742,0.088821,3.747134
573,0.088670,4.457097,0.163666,4.709433
574,0.092317,4.102326,0.091236,4.285879
575,0.088310,3.563982,0.109079,3.761371
576,0.092999,3.552870,0.089081,3.734950
577,0.104020,3.783162,0.121353,4.008535
578,0.093300,3.584159,0.089032,3.766491
579,0.105503,3.605341,0.088480,3.799324
580,0.088440,3.563791,0.088851,3.741082
581,0.088641,3.825754,0.090324,4.004719
582,0.086367,3.576916,0.093550,3.756833
583,0.091436,3.579311,0.089001,3.759748
584,0.088160,3.574902,0.088319,3.751381
585,0.105613,3.955324,0.110272,4.171209
586,0.090093,3.803541,0.100353,3.993987
587,0.088881,3.526269,0.094010,3.709160
588,0.100894,3.553681,0.086196,3.740771
589,0.086386,4.294736,0.091947,4.473069
590,0.088901,3.742885,0.093871,3.925657
591,0.088750,3.593809,0.089312,3.771871
592,0.095895,3.557549,0.088690,3.742134
593,0.088360,4.952000,0.093980,5.134340
594,0.091686,3.738106,0.094862,3.924654
595,0.088500,3.581876,0.088831,3.759207
596,0.088570,3.707146,0.096145,3.891861
597,0.088771,3.579711,0.088571,3.757053
598,0.088651,3.724680,0.090454,3.903785
599,0.088240,3.661809,0.095514,3.845563
600,0.092017,3.493656,0.089292,3.674965
601,0.150580,3.613917,0.095864,3.860361
602,0.100804,3.556406,0.092939,3.750149
603,0.092187,3.687429,0.096525,3.876141
604,0.095213,3.541738,0.093180,3.730131
605,0.092778,3.777933,0.098379,3.969090
606,0.092447,3.596885,0.089742,3.779074
607,0.085143,4.524296,0.126465,4.735904
608,0.089763,4.142203,0.092397,4.324363
609,0.088560,3.571787,0.091415,3.751762
610,0.088490,3.531448,0.091977,3.711915
611,0.091526,3.744799,0.112005,3.948330
612,0.088530,3.695594,0.109912,3.894036
613,0.088840,3.537551,0.088410,3.714801
614,0.088621,3.543131,0.088340,3.720092
615,0.088119,3.720793,0.089822,3.898734
616,0.089322,3.698560,0.103639,3.891521
617,0.088630,3.564533,0.092457,3.745620
618,0.093550,3.594089,0.088270,3.775909
619,0.088139,3.542681,0.088289,3.719109
620,0.088581,3.935483,0.133869,4.157933
621,0.093700,3.681547,0.088129,3.863376
622,0.088811,3.554142,0.092508,3.735461
623,0.092227,3.562038,0.106605,3.760870
624,0.088390,3.787581,0.386572,4.262543
625,0.122535,3.704522,0.097889,3.924946
