time,valid_in,ready_in,valid_out,ready_out
827005000,0,0,0,1
827015000,0,0,0,1
827025000,0,0,0,1
827035000,0,0,0,1
827045000,0,0,0,1
827055000,0,0,0,1
827065000,0,0,0,1
827075000,0,0,0,1
827085000,0,0,0,1
827095000,0,0,0,1
827105000,0,0,0,1
827115000,0,0,0,1
827125000,0,0,0,1
827135000,0,0,0,1
827145000,0,0,0,1
827155000,0,0,0,1
827165000,0,0,0,1
827175000,0,0,0,1
827185000,0,0,0,1
827195000,0,0,0,1
827205000,0,0,0,1
827215000,0,0,0,1
827225000,0,0,0,1
827235000,0,0,0,1
827245000,0,0,0,1
827255000,0,0,0,1
827265000,0,0,0,1
827275000,0,0,0,1
827285000,0,0,0,1
827295000,0,0,0,1
827305000,0,0,0,1
827315000,0,0,0,1
827325000,0,0,0,1
827335000,0,0,0,1
827345000,0,0,0,1
827355000,0,0,0,1
827365000,0,0,0,1
827375000,0,0,0,1
827385000,0,0,0,1
827395000,0,0,0,1
827405000,0,0,0,1
827415000,0,0,0,1
827425000,0,0,0,1
827435000,0,0,0,1
827445000,0,0,0,1
827455000,0,0,0,1
827465000,0,0,0,1
827475000,0,0,0,1
827485000,0,0,0,1
827495000,0,0,0,1
827505000,0,0,0,1
827515000,0,0,0,1
827525000,0,0,0,1
827535000,0,0,0,1
827545000,0,0,0,1
827555000,0,0,0,1
827565000,0,0,0,1
827575000,0,0,0,1
827585000,0,0,0,1
827595000,0,0,0,1
827605000,0,0,0,1
827615000,0,0,0,1
827625000,0,0,0,1
827635000,0,0,0,1
827645000,0,0,0,1
827655000,0,0,0,1
827665000,0,0,0,1
827675000,0,0,0,1
827685000,0,0,0,1
827695000,0,0,0,1
827705000,0,0,0,1
827715000,0,0,0,1
827725000,0,0,0,1
827735000,0,0,0,1
827745000,0,0,0,1
827755000,0,0,0,1
827765000,0,0,0,1
827775000,0,0,0,1
827785000,0,0,0,1
827795000,0,0,0,1
827805000,0,0,0,1
827815000,0,0,0,1
827825000,0,0,0,1
827835000,0,0,0,1
827845000,0,0,0,1
827855000,0,0,0,1
827865000,0,0,0,1
827875000,0,0,0,1
827885000,0,0,0,1
827895000,0,0,0,1
827905000,0,0,0,1
827915000,0,0,0,1
827925000,0,0,0,1
827935000,0,0,0,1
827945000,0,0,0,1
827955000,0,0,0,1
827965000,0,0,0,1
827975000,0,0,0,1
827985000,0,0,0,1
827995000,0,0,0,1
828005000,0,0,0,1
828015000,0,0,0,1
828025000,0,0,0,1
828035000,0,0,0,1
828045000,0,0,0,1
828055000,0,0,0,1
828065000,0,0,0,1
828075000,0,0,0,1
828085000,0,0,0,1
828095000,0,0,0,1
828105000,0,0,0,1
828115000,0,0,0,1
828125000,0,0,0,1
828135000,0,0,0,1
828145000,0,0,0,1
828155000,0,0,0,1
828165000,0,0,0,1
828175000,0,0,0,1
828185000,0,0,0,1
828195000,0,0,0,1
828205000,0,0,0,1
828215000,0,0,0,1
828225000,0,0,0,1
828235000,0,0,0,1
828245000,0,0,0,1
828255000,0,0,0,1
828265000,0,0,0,1
828275000,0,0,0,1
828285000,0,0,0,1
828295000,0,0,0,1
828305000,0,0,0,1
828315000,0,0,0,1
828325000,0,0,0,1
828335000,0,0,0,1
828345000,0,0,0,1
828355000,0,0,0,1
828365000,0,0,0,1
828375000,0,0,0,1
828385000,0,0,0,1
828395000,0,0,0,1
828405000,0,0,0,1
828415000,0,0,0,1
828425000,0,0,0,1
828435000,0,0,0,1
828445000,0,0,0,1
828455000,0,0,0,1
828465000,0,0,0,1
828475000,0,0,0,1
828485000,0,0,0,1
828495000,0,0,0,1
828505000,0,0,0,1
828515000,0,0,0,1
828525000,0,0,0,1
828535000,0,0,0,1
828545000,0,0,0,1
828555000,0,0,0,1
828565000,0,0,0,1
828575000,0,0,0,1
828585000,0,0,0,1
828595000,0,0,0,1
828605000,0,0,0,1
828615000,0,0,0,1
828625000,0,0,0,1
828635000,0,0,0,1
828645000,0,0,0,1
828655000,0,0,0,1
828665000,0,0,0,1
828675000,0,0,0,1
828685000,0,0,0,1
828695000,0,0,0,1
828705000,0,0,0,1
828715000,0,0,0,1
828725000,0,0,0,1
828735000,0,0,0,1
828745000,0,0,0,1
828755000,0,0,0,1
828765000,0,0,0,1
828775000,0,0,0,1
828785000,0,0,0,1
828795000,0,0,0,1
828805000,0,0,0,1
